Cluster Name,1,2,3,4,5,6,7,8,9,10,11,12
High,0.0,0.0,0.14285714285714285,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Low,0.0,0.08888888888888889,0.15555555555555556,0.044444444444444446,0.022222222222222223,0.24444444444444444,0.3111111111111111,0.0,0.0,0.044444444444444446,0.022222222222222223,0.06666666666666667
Lower-Medium,0.046875,0.03125,0.15625,0.109375,0.171875,0.0,0.015625,0.09375,0.1875,0.0,0.1875,0.0
Upper-Medium,0.0,0.0,0.21212121212121213,0.030303030303030304,0.5757575757575758,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0
