Date,0 hour,1 hour,2 hour,3 hour,4 hour,5 hour,6 hour,7 hour,8 hour,9 hour,10 hour,11 hour,12 hour,13 hour,14 hour,15 hour,16 hour,17 hour,18 hour,19 hour,20 hour,21 hour,22 hour,23 hour
2021-Feb-01,1.1563385,1.5963112,1.7469326,0.8055868,0.7117661,0.7744911,0.8461822,0.9897037,1.1563824,1.5963566,1.7469997,0.8055869,0.7117661,0.7744911,0.84618217,0.9897036,1.1563824,1.5963566,1.7469997,0.8058526,0.71200466,0.7747713,0.846467,0.99000347
2021-Feb-02,1.183569,1.627363,1.7527589,0.82457936,0.7276618,0.7887141,0.87692606,1.0175936,1.1845263,1.6274146,1.7528316,0.82457936,0.7276618,0.78871405,0.87692606,1.0175936,1.1845263,1.6274145,1.7528316,0.82486296,0.7279194,0.78900206,0.8772221,1.0179191
2021-Feb-03,1.2428151,1.6927248,1.7576107,0.8619713,0.75792444,0.81876963,0.9096981,1.0699058,1.2428873,1.6927791,1.7576132,0.8619713,0.75792444,0.81876963,0.90969807,1.0699058,1.2428873,1.6927791,1.7576131,0.8622435,0.75819075,0.8190235,0.90998644,1.0702147
2021-Feb-04,1.1091245,1.5419286,1.7411315,0.7793057,0.6874204,0.7491399,0.8228003,0.93251145,1.1091679,1.5419676,1.7412009,0.7793057,0.6874204,0.7491399,0.8228003,0.93251145,1.1091679,1.5419676,1.7412392,0.77957225,0.6877049,0.74944055,0.8231139,0.9328309
2021-Feb-05,1.2211324,1.67099,1.7541957,0.8497939,0.74493164,0.80942804,0.90060496,1.0529805,1.2218156,1.6710418,1.7542698,0.8497939,0.74493164,0.80942804,0.90060496,1.0529805,1.2218156,1.6710418,1.7542698,0.8500662,0.7451923,0.8096797,0.900887,1.0532829
