Date,Average Flow,Average Temperature,Average Temperature (K)
2024-Feb-04,39.91,2.61,275.76
2024-Feb-05,46.24,2.83,275.98
2024-Feb-06,32.6,2.17,275.32
2024-Feb-07,47.01,2.42,275.57
2024-Feb-08,32.54,2.79,275.94
2024-Feb-09,48.7,2.95,276.1
2024-Feb-10,42.41,3.31,276.46
2024-Feb-11,40.82,2.69,275.84
2024-Feb-12,41.53,3.1,276.25
2024-Feb-13,48.53,3.29,276.44
2024-Feb-14,36.97,2.81,275.96
2024-Feb-15,38.86,2.39,275.54
2024-Feb-16,39.13,1.74,274.89
2024-Feb-17,44.12,2.47,275.62
2024-Feb-18,27.81,1.75,274.9
2024-Feb-19,45.21,2.16,275.31
2024-Feb-20,34.44,2.62,275.77
2024-Feb-21,45.21,3.57,276.72
2024-Feb-22,33.42,3.11,276.26
2024-Feb-23,43.44,3.66,276.81
2024-Feb-24,40.81,3.0,276.15
2024-Feb-25,46.35,3.78,276.93
2024-Feb-26,43.09,3.0,276.15
2024-Feb-27,40.62,2.72,275.87
2024-Feb-28,45.73,3.19,276.34
2024-Feb-29,35.16,2.69,275.84
2024-Mar-01,47.96,3.23,276.38
2024-Mar-02,41.05,3.64,276.79
2024-Mar-03,38.84,3.06,276.21
