Cluster,0 hour,1 hour,2 hour,3 hour,4 hour,5 hour,6 hour,7 hour,8 hour,9 hour,10 hour,11 hour,12 hour,13 hour,14 hour,15 hour,16 hour,17 hour,18 hour,19 hour,20 hour,21 hour,22 hour,23 hour
3,0.94,0.96,0.91,0.88,0.9,0.94,1.03,1.02,1.01,1.01,1.0,0.96,0.99,1.02,0.95,0.89,0.94,1.02,1.08,1.1,1.19,1.17,1.13,0.98
5,1.13,1.18,1.18,1.15,1.13,1.13,1.11,1.1,1.08,1.07,1.03,1.02,0.91,0.9,0.87,0.86,0.86,0.87,0.88,0.91,0.92,0.91,0.89,0.92
