Cluster,0 hour,1 hour,2 hour,3 hour,4 hour,5 hour,6 hour,7 hour,8 hour,9 hour,10 hour,11 hour,12 hour,13 hour,14 hour,15 hour,16 hour,17 hour,18 hour,19 hour,20 hour,21 hour,22 hour,23 hour
1,0.83,0.8,0.73,0.7,0.7,0.77,0.93,1.14,1.2,1.21,1.17,1.13,1.11,1.09,1.05,1.03,1.09,1.12,1.12,1.09,1.04,0.96,0.98,0.99
2,1.23,1.13,1.03,1.01,1.06,1.25,1.47,0.9,0.62,0.57,0.49,0.58,0.57,0.69,0.81,0.98,1.08,1.17,1.15,0.99,1.43,1.37,1.21,1.2
3,1.11,1.13,1.1,1.07,1.07,1.1,1.12,1.11,1.07,1.06,1.03,1.01,0.96,0.96,0.88,0.85,0.87,0.9,0.91,0.92,0.97,0.95,0.93,0.94
