,0 hour,1 hour,2 hour,3 hour,4 hour,5 hour,6 hour,7 hour,8 hour,9 hour,10 hour,11 hour,12 hour,13 hour,14 hour,15 hour,16 hour,17 hour,18 hour,19 hour,20 hour,21 hour,22 hour,23 hour
mean,1.035,1.0699999999999998,1.045,1.015,1.015,1.035,1.07,1.06,1.045,1.04,1.0150000000000001,0.99,0.95,0.96,0.9099999999999999,0.875,0.8999999999999999,0.9450000000000001,0.98,1.0050000000000001,1.055,1.04,1.01,0.95
std,0.134350288425444,0.15556349186104043,0.19091883092036777,0.19091883092036777,0.16263455967290583,0.134350288425444,0.05656854249492385,0.05656854249492385,0.049497474683058366,0.04242640687119289,0.021213203435596444,0.04242640687119289,0.056568542494923775,0.08485281374238571,0.056568542494923775,0.021213203435596444,0.056568542494923775,0.10606601717798214,0.14142135623730953,0.13435028842544408,0.19091883092036777,0.18384776310850226,0.16970562748477133,0.04242640687119281
