,0 hour,1 hour,2 hour,3 hour,4 hour,5 hour,6 hour,7 hour,8 hour,9 hour,10 hour,11 hour,12 hour,13 hour,14 hour,15 hour,16 hour,17 hour,18 hour,19 hour,20 hour,21 hour,22 hour,23 hour
count,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
mean,1.0766666666666667,1.0474999999999999,0.9733333333333333,0.9366666666666666,0.9174999999999999,1.0183333333333333,1.2058333333333333,1.1500000000000001,1.0208333333333333,0.9874999999999999,0.9266666666666666,0.9566666666666666,0.9275000000000001,0.9316666666666668,0.9391666666666666,0.9566666666666666,1.0191666666666668,1.0691666666666668,1.04,0.96,1.0708333333333333,0.9883333333333334,0.9216666666666665,0.9566666666666666
std,0.28095076674273967,0.1977199580674187,0.20299275998434183,0.2103820478572401,0.18582127287946731,0.2551945187974115,0.31601088397059807,0.33045423283716613,0.29178006453595495,0.2836811590500857,0.31955461429175375,0.3134074702751075,0.26361559479321744,0.26439754273831784,0.19778125351616174,0.2099494888747955,0.16897866101608178,0.20052015692526604,0.20297783130184438,0.2117889172136858,0.2672573949426192,0.24553590121992094,0.261041039383512,0.3481988286057612
min,0.77,0.69,0.64,0.6,0.58,0.47,0.86,0.62,0.47,0.51,0.35,0.3,0.46,0.37,0.52,0.59,0.8,0.67,0.66,0.41,0.58,0.73,0.28,0.0
25%,0.8825000000000001,0.9249999999999999,0.88,0.8375,0.85,0.9149999999999999,0.995,1.0075,0.9450000000000001,0.845,0.715,0.71,0.75,0.8,0.9075,0.8374999999999999,0.905,0.955,0.94,0.895,0.92,0.8475,0.855,0.905
50%,1.045,1.125,0.98,0.89,0.96,1.0550000000000002,1.09,1.1,1.06,0.98,0.975,0.99,1.0,0.9650000000000001,0.97,0.88,0.95,1.065,1.0550000000000002,1.005,1.09,0.91,0.925,0.965
75%,1.26,1.1949999999999998,1.065,1.09,0.99,1.14,1.37,1.33,1.1675,1.15,1.1549999999999998,1.17,1.1324999999999998,1.1349999999999998,1.06,1.145,1.1824999999999999,1.1925,1.1275,1.1025,1.1749999999999998,1.125,1.055,1.1775
max,1.72,1.25,1.35,1.32,1.24,1.43,1.76,1.8,1.42,1.43,1.41,1.43,1.29,1.31,1.17,1.36,1.28,1.39,1.46,1.18,1.51,1.44,1.27,1.33
