Cluster Name,1,2,3
High,1.0,0.0,0.0
Low,0.36666666666666664,0.5333333333333333,0.1
Lower-Medium,0.3582089552238806,0.014925373134328358,0.6268656716417911
Upper-Medium,0.7575757575757576,0.0,0.24242424242424243
