Cluster,0 hour,1 hour,2 hour,3 hour,4 hour,5 hour,6 hour,7 hour,8 hour,9 hour,10 hour,11 hour,12 hour,13 hour,14 hour,15 hour,16 hour,17 hour,18 hour,19 hour,20 hour,21 hour,22 hour,23 hour
1,1.11,1.14,1.12,1.09,1.08,1.11,1.18,1.13,1.04,1.08,1.03,1.03,0.99,0.94,0.85,0.81,0.84,0.87,0.88,0.9,0.97,0.94,0.92,0.95
2,1.41,1.19,1.04,1.02,1.06,1.25,1.5,0.83,0.5,0.46,0.5,0.63,0.54,0.65,0.83,0.97,1.08,1.18,1.26,0.89,1.4,1.39,1.2,1.23
3,0.87,0.79,0.7,0.66,0.7,0.81,0.94,1.09,1.14,1.17,1.18,1.16,1.14,1.13,1.07,1.02,1.1,1.12,1.11,1.06,1.05,0.98,1.01,1.03
